doi_chung,n_C,bien,T_trung_vi,C_trung_vi,T_IQR,C_IQR,SMD
DC-A,132,log_pre_p,10.985,10.82,0.953,1.138,0.042
DC-A,132,log1p_pre_q,1.609,2.485,0.981,2.132,-0.879
DC-A,132,pre_w,3.0,4.0,3.0,5.0,-0.608
DC-B,137,log_pre_p,10.985,10.8,0.953,1.138,0.067
DC-B,137,log1p_pre_q,1.609,2.485,0.981,2.11,-0.861
DC-B,137,pre_w,3.0,4.0,3.0,5.0,-0.588
DC-C,157,log_pre_p,10.985,10.82,0.953,1.099,0.052
DC-C,157,log1p_pre_q,1.609,2.303,0.981,1.981,-0.742
DC-C,157,pre_w,3.0,4.0,3.0,5.0,-0.499
DC-8%,1908,log_pre_p,10.985,10.043,0.953,0.887,1.4
DC-8%,1908,log1p_pre_q,1.609,2.303,0.981,1.482,-0.821
DC-8%,1908,pre_w,3.0,5.0,3.0,4.0,-0.695
