truc,ma_nhom,nhan,so_hoa_don,tong_doanh_thu,trung_binh_moi_hoa_don
thứ trong tuần,0,Thứ Hai,7307,843969919,115502
thứ trong tuần,1,Thứ Ba,5633,747052292,132621
thứ trong tuần,2,Thứ Tư,6766,757023800,111886
thứ trong tuần,3,Thứ Năm,8971,1094726925,122030
thứ trong tuần,4,Thứ Sáu,7028,666033392,94769
thứ trong tuần,5,Thứ Bảy,8369,717789365,85768
thứ trong tuần,6,Chủ nhật,6236,542343764,86970
ngày trong tháng,1-5,Ngày 1-5,7257,976705506,134588
ngày trong tháng,6-10,Ngày 6-10,6495,639121043,98402
ngày trong tháng,11-15,Ngày 11-15,9700,1213646217,125118
ngày trong tháng,16-20,Ngày 16-20,7038,669974586,95194
ngày trong tháng,21-25,Ngày 21-25,7385,639928357,86652
ngày trong tháng,26-31,Ngày 26-31,12435,1229563748,98879
