doi_chung,tang,gia_nen_min,gia_nen_max,n_T,n_C,mong
DC-A,0,6000,26000,19,39,False
DC-A,1,27000,44000,36,22,False
DC-A,2,45000,66000,31,24,False
DC-A,3,67000,96000,32,25,False
DC-A,4,99000,804000,35,22,False
DC-B,0,6000,26000,19,41,False
DC-B,1,27000,43000,34,23,False
DC-B,2,44000,66000,33,25,False
DC-B,3,67000,96000,32,25,False
DC-B,4,99000,804000,35,23,False
DC-C,0,6000,27000,21,43,False
DC-C,1,28000,43000,32,28,False
DC-C,2,44000,66000,33,31,False
DC-C,3,67000,99000,33,27,False
DC-C,4,100000,804000,34,28,False
DC-8%,0,1000,13000,4,459,False
DC-8%,1,14000,20000,11,375,False
DC-8%,2,20000,28000,10,382,False
DC-8%,3,28000,39000,19,405,False
DC-8%,4,40000,310000,109,287,False
