nguong_tuan,nhom,so_giu,so_loai,gia_nen_giu,gia_nen_loai,sl_giu,sl_loai
1,T,153,0,59000,,4.0,
1,C10,157,0,50000,,9.0,
1,C8,1908,0,23000,,9.0,
2,T,117,36,51000,78000.0,5.0,1.0
2,C10,129,28,38000,105000.0,13.0,1.0
2,C8,1694,214,22000,28000.0,11.0,1.0
3,T,92,61,49000,76000.0,6.0,2.0
3,C10,111,46,37000,104500.0,16.0,2.0
3,C8,1462,446,21000,29000.0,14.0,2.0
4,T,57,96,40000,69000.0,10.0,2.0
4,C10,92,65,34500,72000.0,21.5,3.0
4,C8,1263,645,20000,28000.0,16.0,3.0
5,T,40,113,36500,69000.0,11.5,3.0
5,C10,67,90,32000,64500.0,32.0,3.5
5,C8,1036,872,20000,28000.0,19.0,4.0
