truc,muc,n,pp,uoc_luong,se,p,ktc_duoi,ktc_tren,so_lan_hop_le,so_lan_that_bai
Cửa sổ [ITT],chinh,287,PP1-A hiệp biến,-0.2697708220281079,0.733347829562882,0.7129761129179835,-1.7071325679713567,1.167590923915141,,
Cửa sổ [per-protocol],chinh,285,PP1-A hiệp biến,-0.26414113119887345,0.7218627016739821,0.7144277373611253,-1.6789920264798786,1.1507097640821315,,
Cửa sổ [ITT],co_thang_4,293,PP1-A hiệp biến,-0.11321156652689317,0.7259281342780345,0.8760690952593025,-1.5360307097118406,1.3096075766580544,,
Cửa sổ [per-protocol],co_thang_4,292,PP1-A hiệp biến,-0.09155061227675457,0.7176016886424115,0.8984824746347992,-1.4980499220158812,1.3149486974623719,,
Cửa sổ [ITT],hep_1_thang,251,PP1-A hiệp biến,-0.21350601615016895,0.7714545552432117,0.7819661357183664,-1.725556944426864,1.298544912126526,,
Cửa sổ [per-protocol],hep_1_thang,247,PP1-A hiệp biến,-0.21666219784899646,0.7659275414160411,0.7772722143593422,-1.7178801790244371,1.2845557833264443,,
Cửa sổ [ITT],sau_doi_cho,248,PP1-A hiệp biến,-0.21152504141914935,0.7941977297889324,0.7899789036001048,-1.768152591805457,1.3451025089671582,,
Cửa sổ [per-protocol],sau_doi_cho,244,PP1-A hiệp biến,-0.21448787676371275,0.7877003484158381,0.7853942142443872,-1.7583805596587556,1.32940480613133,,
PP2 [per-protocol],ĐC-A phân tầng,285,PP2,-0.3429227449528656,0.5981279730978803,0.5630873825234953,-1.5372609010977663,0.8013917709485965,5000.0,0.0
23 SKU chưa rõ [ITT],cơ sở (loại 23 SKU),287,PP1-A hiệp biến,-0.2697708220281081,0.733347829562882,0.7129761129179832,-1.707132567971357,1.1675909239151407,,
23 SKU chưa rõ [ITT],gán tất cả Z=1,310,PP1-A hiệp biến,-0.3340339571817136,0.6785087844411907,0.6225030271575878,-1.6639111746864472,0.9958432603230202,,
23 SKU chưa rõ [ITT],gán tất cả Z=0,310,PP1-A hiệp biến,-0.109127054749389,0.6386655779564469,0.864328119358565,-1.3609115875440247,1.1426574780452468,,
Survivorship [ITT],≥1 tuần,287,PP1-A hiệp biến,-0.2697708220281081,0.733347829562882,0.7129761129179832,-1.707132567971357,1.1675909239151407,,
Survivorship [ITT],≥2 tuần,228,PP1-A hiệp biến,0.03163355479575336,0.6071316475784143,0.9584463934648316,-1.1583444744579388,1.2216115840494455,,
Survivorship [ITT],≥3 tuần,189,PP1-A hiệp biến,-0.2979285303534492,0.6052368272163261,0.6225418018300843,-1.4841927116974483,0.88833565099055,,
Survivorship [ITT],≥4 tuần,145,PP1-A hiệp biến,-0.2391190262507222,0.637956189286758,0.7077940039615653,-1.4895131572527678,1.0112751047513235,,
Survivorship [ITT],≥5 tuần,104,PP1-A hiệp biến,0.8751165423614395,0.8278688342474683,0.2904789614939761,-0.7475063727635982,2.4977394574864773,,
9 SKU hòa VAT [ITT],giữ 9 SKU hòa,287,PP1-A hiệp biến,-0.2697708220281081,0.733347829562882,0.7129761129179832,-1.707132567971357,1.1675909239151407,,
9 SKU hòa VAT [ITT],loại 9 SKU hòa,278,PP1-A hiệp biến,-0.16365056686759452,0.7551285923614571,0.8284274912693632,-1.6437026078960504,1.3164014741608614,,
Survivorship [per-protocol],≥1 tuần,285,PP1-A hiệp biến,-0.26414113119887367,0.7218627016739823,0.7144277373611252,-1.678992026479879,1.1507097640821315,,
Survivorship [per-protocol],≥2 tuần,227,PP1-A hiệp biến,0.02319780421675808,0.5971376263541731,0.9690113059142773,-1.1471919434374214,1.1935875518709373,,
Survivorship [per-protocol],≥3 tuần,188,PP1-A hiệp biến,-0.29279191354016054,0.6040410771067833,0.6278736589193215,-1.476712424669456,0.8911285975891349,,
Survivorship [per-protocol],≥4 tuần,141,PP1-A hiệp biến,-0.20857380222787672,0.6420655960266092,0.7452960228171974,-1.4670223704400307,1.0498747659842773,,
Survivorship [per-protocol],≥5 tuần,103,PP1-A hiệp biến,0.8865497631580589,0.8243256366275346,0.282157695450461,-0.7291284846319087,2.5022280109480266,,
9 SKU hòa VAT [per-protocol],giữ 9 SKU hòa,285,PP1-A hiệp biến,-0.26414113119887367,0.7218627016739823,0.7144277373611252,-1.678992026479879,1.1507097640821315,,
9 SKU hòa VAT [per-protocol],loại 9 SKU hòa,276,PP1-A hiệp biến,-0.1576831226467656,0.7437457680438574,0.8320975729645324,-1.6154248280127261,1.3000585827191948,,
Biến kết quả [ITT],giá gồm thuế,287,PP1-A hiệp biến,-0.2697708220281081,0.733347829562882,0.7129761129179832,-1.707132567971357,1.1675909239151407,,
Biến kết quả [ITT],giá chưa thuế,287,PP1-A hiệp biến,1.2863103941803558,0.7394443264158546,0.08193568503849215,-0.16300048559471914,2.735621273955431,,
Biến kết quả [per-protocol],giá gồm thuế,285,PP1-A hiệp biến,-0.26414113119887367,0.7218627016739823,0.7144277373611252,-1.678992026479879,1.1507097640821315,,
Biến kết quả [per-protocol],giá chưa thuế,285,PP1-A hiệp biến,1.5149001987056936,0.7237781501530685,0.03634514258076451,0.0962950244056795,2.9335053730057075,,
