dac_ta,se,mde,suc_manh_tai_moc_chuyen_hoan_toan,bien_tost_du_80,suc_manh_tost_bien_dang_dung,delta,suc_manh
PP1-A thô,0.5997290408454142,1.6801920157055812,0.864248411797256,1.7550501792207092,0.0,,
PP1-A hiệp biến,0.733347829562882,2.054536439038599,0.7061395970744182,2.1460728963385427,0.0,,
PP1-B g-computation,0.7755692555803254,2.1728233620567186,0.6576026182352825,2.269629896670578,0.0,,
PP2 phân tầng,0.5924206972325518,1.6597170682708953,0.8723043371408941,1.733663004523483,0.0,,
đường cong mô phỏng,,,,,,0.0,0.0515
đường cong mô phỏng,,,,,,-0.5,0.109
đường cong mô phỏng,,,,,,-1.0,0.2885
đường cong mô phỏng,,,,,,-1.835,0.7155
đường cong mô phỏng,,,,,,-2.5,0.928
đường cong mô phỏng,,,,,,-3.0,0.979
