mau,tang,n1,n0,gia_min,gia_max,tau_s,w_s
so sánh theo Z,0,19,39,9000.0,26000.0,-0.07551854975136996,0.12258064516129032
so sánh theo Z,1,39,20,27000.0,42000.0,0.06582041762842714,0.25161290322580643
so sánh theo Z,2,32,24,43000.0,62000.0,-0.25578566119369683,0.2064516129032258
so sánh theo Z,3,31,27,64000.0,96000.0,-1.661865066488367,0.2
so sánh theo Z,4,34,22,99000.0,804000.0,0.5512998123116862,0.21935483870967742
per-protocol ĐC-A,0,19,39,6000.0,26000.0,-0.07503435568731143,0.12418300653594772
per-protocol ĐC-A,1,36,22,27000.0,44000.0,-0.08969077784945383,0.23529411764705882
per-protocol ĐC-A,2,31,24,45000.0,66000.0,-2.0105540060914477,0.20261437908496732
per-protocol ĐC-A,3,32,25,67000.0,96000.0,-0.3032947687013652,0.20915032679738563
per-protocol ĐC-A,4,35,22,99000.0,804000.0,0.6919985020036966,0.22875816993464052
